area,route_name,date,gpx_file,url
北陸,取立山山スキー_2014GPSログNo.8,2014年02月22日(土),routes/track-7787748.gpx,https://www.yamareco.com/modules/yamareco/detail-7787748.html
支笏・洞爺,オロフレ山北西面　蟠渓温泉から主稜線上1065mまで,2025年02月11日(火),routes/track-7787918.gpx,https://www.yamareco.com/modules/yamareco/detail-7787918.html
東海,ワンゲル部山小屋2月合宿にて雪上訓練,2025年02月10日(月),routes/track-7787963.gpx,https://www.yamareco.com/modules/yamareco/detail-7787963.html
積丹・ニセコ・羊蹄山,尻別岳,2025年02月11日(火),routes/track-7788008.gpx,https://www.yamareco.com/modules/yamareco/detail-7788008.html
妙高・戸隠・雨飾,乙妻山敗退,2025年02月11日(火),routes/track-7788136.gpx,https://www.yamareco.com/modules/yamareco/detail-7788136.html
妙高・戸隠・雨飾,黒姫山(大橋から七つ池シュート),2025年02月11日(火),routes/track-7788186.gpx,https://www.yamareco.com/modules/yamareco/detail-7788186.html
札幌近郊,塩谷丸山,2025年02月11日(火),routes/track-7788517.gpx,https://www.yamareco.com/modules/yamareco/detail-7788517.html
白馬・鹿島槍・五竜,権現山,2025年02月11日(火),routes/track-7788938.gpx,https://www.yamareco.com/modules/yamareco/detail-7788938.html
札幌近郊,ドライパウダー　千尺高地,2025年02月11日(火),routes/track-7789055.gpx,https://www.yamareco.com/modules/yamareco/detail-7789055.html
北陸,猿ヶ山,2025年02月11日(火),routes/track-7789062.gpx,https://www.yamareco.com/modules/yamareco/detail-7789062.html
積丹・ニセコ・羊蹄山,羊蹄山　真狩デルタ,2025年02月11日(火),routes/track-7789126.gpx,https://www.yamareco.com/modules/yamareco/detail-7789126.html
札幌近郊,和宇尻山,2025年02月11日(火),routes/track-7789176.gpx,https://www.yamareco.com/modules/yamareco/detail-7789176.html
甲信越,多宝山  弥彦山スカイラインゲートから往復,2025年02月11日(火),routes/track-7789232.gpx,https://www.yamareco.com/modules/yamareco/detail-7789232.html
大雪山,旭岳　BC,2025年02月11日(火),routes/track-7789314.gpx,https://www.yamareco.com/modules/yamareco/detail-7789314.html
芦別・夕張,NO NAME,2025年02月11日(火),routes/track-7789377.gpx,https://www.yamareco.com/modules/yamareco/detail-7789377.html
北陸,御世仏山　ラッセル祭り,2025年02月11日(火),routes/track-7789635.gpx,https://www.yamareco.com/modules/yamareco/detail-7789635.html
札幌近郊,和宇尻山,2025年02月11日(火),routes/track-7789678.gpx,https://www.yamareco.com/modules/yamareco/detail-7789678.html
積丹・ニセコ・羊蹄山,塩谷丸山,2025年02月11日(火),routes/track-7789691.gpx,https://www.yamareco.com/modules/yamareco/detail-7789691.html
札幌近郊,札幌岳(冷水沢),2025年02月11日(火),routes/track-7789737.gpx,https://www.yamareco.com/modules/yamareco/detail-7789737.html
東海,猪臥山　山スキー　岐阜県,2025年02月11日(火),routes/track-7789864.gpx,https://www.yamareco.com/modules/yamareco/detail-7789864.html
志賀・草津・四阿山・浅間,四阿山（途中撤退）,2025年02月11日(火),routes/track-7789892.gpx,https://www.yamareco.com/modules/yamareco/detail-7789892.html
白神山地・岩木山,焼止りヒュッテ,2025年02月11日(火),routes/track-7789948.gpx,https://www.yamareco.com/modules/yamareco/detail-7789948.html
北陸,牛岳（987m）2月70ヶ月目　例年にない積雪です,2025年02月11日(火),routes/track-7789961.gpx,https://www.yamareco.com/modules/yamareco/detail-7789961.html
北陸,キラズ山　猪谷から登る富山の里山,2025年02月11日(火),routes/track-7790120.gpx,https://www.yamareco.com/modules/yamareco/detail-7790120.html
蔵王・面白山・船形山,不忘山,2025年02月11日(火),routes/track-7790143.gpx,https://www.yamareco.com/modules/yamareco/detail-7790143.html
東海,大日ヶ岳,2025年02月11日(火),routes/track-7790337.gpx,https://www.yamareco.com/modules/yamareco/detail-7790337.html
妙高・戸隠・雨飾,佐渡山,2025年02月11日(火),routes/track-7790407.gpx,https://www.yamareco.com/modules/yamareco/detail-7790407.html
磐梯・吾妻・安達太良,吾妻山: 高湯温泉ー不動沢口分岐(慶応吾妻山荘を目指したが厳しい気象状況で撤退),2025年02月11日(火),routes/track-7790644.gpx,https://www.yamareco.com/modules/yamareco/detail-7790644.html
芦別・夕張,【北海道遠征】∞タケノコ山と社満射岳,2025年02月11日(火),routes/track-7790669.gpx,https://www.yamareco.com/modules/yamareco/detail-7790669.html
槍・穂高・乗鞍,猫岳めざして2100mまで,2025年02月11日(火),routes/track-7790694.gpx,https://www.yamareco.com/modules/yamareco/detail-7790694.html
白馬・鹿島槍・五竜,村尾根,2025年02月11日(火),routes/track-7790745.gpx,https://www.yamareco.com/modules/yamareco/detail-7790745.html
積丹・ニセコ・羊蹄山,羊蹄山（マッキモ・喜茂別）、山スキー,2025年02月11日(火),routes/track-7790922.gpx,https://www.yamareco.com/modules/yamareco/detail-7790922.html
道北・利尻,チトカニウシ山,2025年02月11日(火),routes/track-7790982.gpx,https://www.yamareco.com/modules/yamareco/detail-7790982.html
道北・利尻,鷹巣山,2025年02月11日(火),routes/track-7791035.gpx,https://www.yamareco.com/modules/yamareco/detail-7791035.html
十勝連峰,三段山目指すBC,2025年02月11日(火),routes/track-7791099.gpx,https://www.yamareco.com/modules/yamareco/detail-7791099.html
霊仙・伊吹・藤原,鞍掛峠ピストン　BCクロカン,2025年02月11日(火),routes/track-7791113.gpx,https://www.yamareco.com/modules/yamareco/detail-7791113.html
